aqi,co,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
177,1.9,96,55,248,134,中度污染,161,45,2014-01-01
209,2.4,130,46,288,159,重度污染,156,76,2014-01-02
255,2.1,113,31,355,205,重度污染,167,79,2014-01-03
221,1.7,79,19,284,171,重度污染,173,58,2014-01-04
255,2.1,95,35,333,205,重度污染,170,55,2014-01-05
181,1.3,70,81,218,136,中度污染,103,54,2014-01-06
104,1,55,63,110,78,轻度污染,82,25,2014-01-07
78,1.1,38,62,69,58,良,101,15,2014-01-08
65,0.7,45,51,79,41,良,60,25,2014-01-09
112,0.9,71,56,141,85,轻度污染,105,43,2014-01-10
128,1.2,76,32,150,97,轻度污染,108,50,2014-01-11
181,1.3,71,63,188,137,中度污染,157,52,2014-01-12
161,1,62,40,183,123,中度污染,157,46,2014-01-13
94,0.9,73,42,119,70,良,73,51,2014-01-14
108,0.7,71,64,129,81,轻度污染,64,43,2014-01-15
121,1,87,53,149,92,轻度污染,65,44,2014-01-16
198,1.6,103,75,240,149,中度污染,118,47,2014-01-17
347,2.1,79,56,391,297,严重污染,178,71,2014-01-18
327,2,88,80,371,277,严重污染,173,67,2014-01-19
162,1,60,68,261,124,中度污染,130,42,2014-01-20
100,0.9,60,42,149,51,良,119,52,2014-01-21
80,0.8,70,74,111,58,良,35,47,2014-01-22
117,1,88,79,145,89,轻度污染,92,55,2014-01-23
119,1.3,95,63,151,90,轻度污染,87,47,2014-01-24
239,1.7,80,51,267,189,重度污染,173,50,2014-01-25
81,0.7,42,59,105,60,良,92,29,2014-01-26
76,1.1,58,47,103,56,良,73,31,2014-01-27
172,1.4,65,50,191,130,中度污染,152,38,2014-01-28
122,1.3,44,51,129,92,轻度污染,125,20,2014-01-29
267,2.4,61,77,270,217,重度污染,162,46,2014-01-30
297,2,43,75,312,247,重度污染,147,25,2014-01-31
242,1.9,40,53,238,192,重度污染,159,23,2014-02-01
219,2.3,39,39,258,169,重度污染,129,14,2014-02-02
118,1.4,29,59,186,89,轻度污染,155,10,2014-02-03
56,0.6,20,85,62,29,良,95,18,2014-02-04
40,0.7,24,79,36,23,优,56,12,2014-02-05
24,0.7,28,47,18,14,优,15,9,2014-02-06
110,1.1,31,47,92,83,轻度污染,146,19,2014-02-07
107,0.9,26,76,99,81,轻度污染,157,32,2014-02-08
84,0.8,20,74,80,63,良,150,21,2014-02-09
57,0.6,23,62,58,41,良,111,22,2014-02-10
84,0.8,35,70,84,62,良,99,34,2014-02-11
75,0.7,46,64,78,55,良,61,24,2014-02-12
91,1,37,71,89,68,良,94,20,2014-02-13
128,1.2,53,94,134,97,轻度污染,112,32,2014-02-14
140,1.3,62,97,150,107,轻度污染,110,41,2014-02-15
84,1,56,54,81,62,良,78,20,2014-02-16
51,0.9,39,58,48,36,良,48,9,2014-02-17
67,0.8,35,60,59,49,良,97,10,2014-02-18
105,0.7,39,84,103,79,轻度污染,125,20,2014-02-19
122,1.1,58,66,128,92,轻度污染,118,27,2014-02-20
181,1.1,47,114,184,137,中度污染,143,51,2014-02-21
176,1.2,65,103,180,133,中度污染,140,49,2014-02-22
122,1.1,54,95,136,93,轻度污染,93,42,2014-02-23
141,1.1,59,73,152,108,轻度污染,85,41,2014-02-24
62,0.8,67,34,56,45,良,54,17,2014-02-25
64,0.7,61,53,65,46,良,42,17,2014-02-26
124,1.3,79,18,135,94,轻度污染,153,24,2014-02-27
61,0.8,51,27,54,44,良,83,21,2014-02-28
55,0.6,47,56,61,38,良,63,16,2014-03-01
119,0.8,68,96,144,90,轻度污染,141,41,2014-03-02
99,0.9,49,106,135,74,良,120,38,2014-03-03
75,0.7,56,86,93,55,良,101,23,2014-03-04
87,0.6,48,82,106,64,良,124,30,2014-03-05
71,0.6,48,76,92,50,良,116,32,2014-03-06
86,0.7,65,77,117,64,良,138,41,2014-03-07
85,0.6,52,89,100,63,良,113,31,2014-03-08
96,0.9,78,91,126,72,良,115,29,2014-03-09
134,1,73,134,177,102,轻度污染,132,37,2014-03-10
169,0.9,55,122,193,128,中度污染,165,42,2014-03-11
126,1,58,102,127,96,轻度污染,163,18,2014-03-12
81,0.5,40,101,111,46,良,120,23,2014-03-13
97,0.7,68,104,145,59,良,133,29,2014-03-14
115,1.2,96,114,180,75,轻度污染,139,61,2014-03-15
113,1.2,87,132,169,85,轻度污染,108,55,2014-03-16
102,1,83,126,153,77,轻度污染,66,38,2014-03-17
256,1.1,85,122,389,120,重度污染,172,50,2014-03-18
134,0.6,48,92,218,73,轻度污染,159,21,2014-03-19
109,0.8,48,120,143,82,轻度污染,181,43,2014-03-20
92,0.6,70,103,133,59,良,158,33,2014-03-21
95,0.6,75,136,140,69,良,126,37,2014-03-22
89,0.5,63,133,129,66,良,79,32,2014-03-23
100,1,79,110,149,73,良,102,43,2014-03-24
114,1.2,69,66,123,86,轻度污染,111,25,2014-03-25
87,0.9,52,132,91,64,良,50,20,2014-03-26
103,0.8,52,162,121,78,轻度污染,79,25,2014-03-27
103,0.9,47,131,112,77,轻度污染,122,24,2014-03-28
158,1.3,63,74,175,121,中度污染,158,25,2014-03-29
91,0.7,53,133,125,68,良,88,21,2014-03-30
73,0.7,54,110,96,46,良,65,33,2014-03-31
114,0.8,61,127,142,86,轻度污染,152,29,2014-04-01
105,0.8,56,166,142,77,轻度污染,152,28,2014-04-02
83,0.6,47,139,114,61,良,118,27,2014-04-03
91,0.6,65,147,132,50,良,119,34,2014-04-04
101,0.6,68,113,152,58,轻度污染,143,29,2014-04-05
65,0.4,36,114,80,23,良,56,23,2014-04-06
80,0.8,58,111,110,46,良,81,37,2014-04-07
104,0.8,64,137,124,78,轻度污染,91,22,2014-04-08
136,0.9,67,200,155,91,轻度污染,143,30,2014-04-09
132,0.8,69,195,162,89,轻度污染,150,35,2014-04-10
134,1.2,104,132,183,102,轻度污染,173,55,2014-04-11
55,0.6,41,76,51,39,良,39,10,2014-04-12
56,0.5,40,107,50,29,良,29,11,2014-04-13
102,0.7,51,162,125,75,轻度污染,112,24,2014-04-14
87,0.5,44,144,115,64,良,88,22,2014-04-15
85,0.6,47,92,92,63,良,127,17,2014-04-16
97,0.8,57,81,100,72,良,122,10,2014-04-17
86,0.7,52,72,100,64,良,117,10,2014-04-18
47,0.6,36,94,40,30,优,28,6,2014-04-19
63,0.5,55,60,74,46,良,74,18,2014-04-20
100,0.9,65,43,107,75,良,142,23,2014-04-21
84,0.6,56,141,95,59,良,121,22,2014-04-22
97,0.6,53,156,104,52,良,124,24,2014-04-23
113,0.6,41,174,97,50,轻度污染,155,20,2014-04-24
76,0.5,22,131,54,28,良,91,9,2014-04-25
69,0.7,33,94,76,50,良,110,7,2014-04-26
92,0.8,31,52,100,69,良,148,9,2014-04-27
67,0.7,35,120,77,47,良,73,15,2014-04-28
114,0.8,61,175,119,56,轻度污染,162,21,2014-04-29
144,0.9,80,208,158,66,轻度污染,174,29,2014-04-30
144,1.1,72,208,191,91,轻度污染,160,36,2014-05-01
142,0.9,68,126,234,72,轻度污染,181,33,2014-05-02
104,0.6,45,164,147,46,轻度污染,153,28,2014-05-03
96,0.9,72,112,141,59,良,179,29,2014-05-04
119,0.7,60,181,131,48,轻度污染,188,30,2014-05-05
129,0.7,59,192,135,58,轻度污染,180,27,2014-05-06
109,0.9,56,170,147,59,轻度污染,150,37,2014-05-07
139,0.9,63,203,192,81,轻度污染,176,32,2014-05-08
105,0.8,50,166,150,64,轻度污染,146,29,2014-05-09
70,0.6,30,122,83,51,良,130,13,2014-05-10
77,0.7,32,132,63,43,良,167,7,2014-05-11
112,1.1,64,173,135,70,轻度污染,177,25,2014-05-12
144,0.9,65,208,147,71,轻度污染,182,25,2014-05-13
134,1,49,197,152,83,轻度污染,173,22,2014-05-14
132,0.9,46,195,195,70,轻度污染,178,29,2014-05-15
146,1.1,75,211,220,88,轻度污染,170,29,2014-05-16
100,0.9,79,145,142,75,良,115,30,2014-05-17
126,0.9,56,123,156,96,轻度污染,160,33,2014-05-18
109,1,54,124,137,82,轻度污染,136,30,2014-05-19
143,1,52,207,166,105,轻度污染,163,15,2014-05-20
187,1.2,68,234,234,141,中度污染,175,30,2014-05-21
156,0.6,34,221,144,82,中度污染,168,27,2014-05-22
117,0.4,29,179,85,38,轻度污染,156,19,2014-05-23
80,0.6,47,136,80,47,良,128,17,2014-05-24
108,0.9,38,100,109,81,轻度污染,123,8,2014-05-25
137,0.8,61,194,224,92,轻度污染,149,23,2014-05-26
187,1,58,202,324,127,中度污染,182,28,2014-05-27
201,1,78,273,268,127,重度污染,185,28,2014-05-28
205,1.2,89,233,311,155,重度污染,181,35,2014-05-29
270,1.4,62,195,336,220,重度污染,187,29,2014-05-30
133,0.8,31,164,159,102,轻度污染,127,19,2014-05-31
73,0.7,30,109,67,53,良,87,12,2014-06-01
49,0.5,18,83,47,34,优,34,8,2014-06-02
62,0.5,25,113,66,45,良,73,12,2014-06-03
98,0.6,42,157,108,72,良,142,21,2014-06-04
140,0.9,53,204,154,97,轻度污染,176,29,2014-06-05
208,1.1,52,241,217,158,重度污染,188,29,2014-06-06
204,1,52,256,209,154,重度污染,186,31,2014-06-07
201,1,43,268,204,149,重度污染,187,34,2014-06-08
151,0.5,25,216,115,80,中度污染,183,17,2014-06-09
111,0.7,46,172,125,77,轻度污染,159,34,2014-06-10
140,0.8,53,204,125,75,轻度污染,180,33,2014-06-11
124,0.6,51,186,118,71,轻度污染,146,28,2014-06-12
181,1,73,246,153,88,中度污染,168,35,2014-06-13
