aqi,co,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
131,2.3,75,28,212,91,轻度污染,95,123,2014-01-01
146,3,96,10,224,112,轻度污染,91,133,2014-01-02
109,2.3,71,25,148,83,轻度污染,65,108,2014-01-03
69,1.4,65,22,73,50,良,23,120,2014-01-04
121,2.6,67,31,143,92,轻度污染,54,109,2014-01-05
138,2.2,69,19,142,106,轻度污染,70,86,2014-01-06
137,2.2,67,24,147,105,轻度污染,113,105,2014-01-07
54,1.2,44,45,59,34,良,44,59,2014-01-08
70,1.4,57,36,91,47,良,82,80,2014-01-09
203,2.5,86,18,242,153,重度污染,162,150,2014-01-10
357,4.3,111,13,431,307,严重污染,179,146,2014-01-11
130,1.9,62,48,151,99,轻度污染,120,78,2014-01-12
113,2.3,75,21,137,85,轻度污染,115,133,2014-01-13
148,3.2,84,14,191,114,轻度污染,121,136,2014-01-14
319,4.8,113,13,392,269,严重污染,171,176,2014-01-15
283,3.8,85,8,302,233,重度污染,165,107,2014-01-16
129,2.3,64,16,127,98,轻度污染,57,113,2014-01-17
246,4.3,88,24,269,196,重度污染,143,142,2014-01-18
247,3.6,93,14,267,197,重度污染,138,163,2014-01-19
67,1.2,28,52,84,18,良,24,43,2014-01-20
26,1.4,35,34,24,18,优,1,55,2014-01-21
140,2.4,80,24,185,107,轻度污染,156,151,2014-01-22
162,2.4,90,21,204,123,中度污染,151,143,2014-01-23
245,4.7,114,8,300,195,重度污染,169,176,2014-01-24
91,1.8,61,38,106,68,良,65,101,2014-01-25
57,1.5,56,39,65,35,良,28,71,2014-01-26
137,2.3,73,25,178,105,轻度污染,139,100,2014-01-27
78,1.6,49,49,106,50,良,85,70,2014-01-28
106,1.8,60,28,145,80,轻度污染,103,120,2014-01-29
146,2.4,48,54,186,112,轻度污染,85,89,2014-01-30
158,3.2,44,38,206,120,中度污染,54,125,2014-01-31
73,1.6,34,21,65,53,良,48,44,2014-02-01
95,1.7,33,56,121,71,良,65,54,2014-02-02
54,0.9,17,63,57,12,良,47,37,2014-02-03
45,1.1,24,57,45,20,优,48,62,2014-02-04
54,1.4,40,54,59,34,良,102,96,2014-02-05
